area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Built-up  Area,Ready To Move,Whitefield,3.0,1806.0,3.0,3.0,85.0,0.04706533776301218
Super built-up  Area,Ready To Move,Kudlu,2.0,1027.0,2.0,2.0,42.0,0.04089581304771178
Super built-up  Area,Under Construction,Uttarahalli,2.0,1002.0,2.0,1.0,40.08,0.04
Super built-up  Area,Under Construction,Electronic City Phase II,3.0,1220.0,2.0,1.0,36.21,0.029680327868852458
Super built-up  Area,Ready To Move,Whitefield,2.0,1109.0,2.0,1.0,35.22,0.03175834084761046
Built-up  Area,Ready To Move,Uttarahalli,2.0,1002.0,2.0,1.0,40.08,0.04
Super built-up  Area,Ready To Move,Other,2.0,1308.0,2.0,1.0,89.04,0.06807339449541285
Super built-up  Area,Under Construction,Hennur Road,2.0,1232.0,2.0,1.0,69.6,0.05649350649350649
Super built-up  Area,Under Construction,Haralur Road,2.0,1027.0,2.0,2.0,44.0,0.042843232716650435
Built-up  Area,Ready To Move,Kalyan nagar,2.0,1250.0,2.0,2.0,65.0,0.052
Plot  Area,Ready To Move,Other,6.0,900.0,6.0,3.0,170.0,0.18888888888888888
Plot  Area,Ready To Move,KR Puram,4.0,960.0,4.0,2.0,80.0,0.08333333333333333
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1255.0,2.0,1.0,53.87,0.04292430278884462
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1434.0,3.0,3.0,84.0,0.058577405857740586
Built-up  Area,Ready To Move,Doddathoguru,2.0,925.0,2.0,2.0,30.0,0.032432432432432434
Super built-up  Area,Under Construction,Jakkur,3.0,1858.0,3.0,1.0,123.0,0.06620021528525297
Built-up  Area,Ready To Move,Other,2.0,1205.0,2.0,1.0,70.0,0.058091286307053944
Plot  Area,Under Construction,Other,3.0,1500.0,3.0,2.0,90.0,0.06
Plot  Area,Ready To Move,Other,3.0,1200.0,3.0,2.0,200.0,0.16666666666666666
Super built-up  Area,Ready To Move,Mysore Road,2.0,1020.0,2.0,2.0,48.95,0.04799019607843138
Super built-up  Area,Ready To Move,Thanisandra,2.0,965.0,2.0,1.0,56.0,0.058031088082901555
Plot  Area,Ready To Move,7th Phase JP Nagar,5.0,1800.0,6.0,3.0,270.0,0.15
Plot  Area,Ready To Move,Other,6.0,1200.0,4.0,2.0,90.0,0.075
Super built-up  Area,Ready To Move,Battarahalli,2.0,1636.0,2.0,2.0,82.89,0.05066625916870416
Super built-up  Area,Under Construction,Kundalahalli,3.0,1724.0,3.0,1.0,125.0,0.07250580046403712
Super built-up  Area,Under Construction,Whitefield,2.0,1216.0,2.0,1.0,67.0,0.055098684210526314
Super built-up  Area,Under Construction,Yelahanka,1.0,654.0,1.0,1.0,36.25,0.05542813455657492
Built-up  Area,Ready To Move,Chikkabanavar,4.0,2460.0,7.0,2.0,80.0,0.032520325203252036
Super built-up  Area,Ready To Move,Other,2.0,1190.0,2.0,2.0,41.0,0.034453781512605045
Plot  Area,Ready To Move,Other,7.0,1200.0,5.0,2.0,180.0,0.15
Super built-up  Area,Ready To Move,Budigere,3.0,1636.0,3.0,2.0,92.0,0.05623471882640587
Super built-up  Area,Under Construction,Hennur Road,2.0,1195.0,2.0,2.0,73.0,0.06108786610878661
Super built-up  Area,Ready To Move,Nagavara,3.0,2400.0,3.0,3.0,251.0,0.10458333333333333
Super built-up  Area,Ready To Move,Other,2.0,1250.0,2.0,1.0,67.0,0.0536
Super built-up  Area,Ready To Move,Whitefield,3.0,1452.0,3.0,2.0,90.0,0.06198347107438017
Super built-up  Area,Under Construction,Thanisandra,3.0,1546.0,3.0,1.0,95.0,0.06144890038809832
Built-up  Area,Ready To Move,Sarjapur  Road,4.0,3385.5,6.0,0.0,142.0,0.041943582927189485
Plot  Area,Ready To Move,Indira Nagar,3.0,1440.0,3.0,1.0,275.0,0.1909722222222222
Plot  Area,Ready To Move,Other,2.0,2260.0,3.0,1.0,80.0,0.035398230088495575
Plot  Area,Ready To Move,Other,4.0,2700.0,3.0,2.0,90.0,0.03333333333333333
Super built-up  Area,Ready To Move,Indira Nagar,2.0,1475.0,2.0,2.0,171.0,0.11593220338983051
Built-up  Area,Ready To Move,JP Nagar,4.0,3000.0,3.0,2.0,150.0,0.05
Built-up  Area,Ready To Move,Other,1.0,375.0,1.0,0.0,26.0,0.06933333333333333
Super built-up  Area,Ready To Move,Balagere,2.0,1007.0,2.0,1.0,66.0,0.06554121151936444
Plot  Area,Ready To Move,Kanakpura Road,1.0,1280.0,1.0,0.0,125.0,0.09765625
Super built-up  Area,Ready To Move,Other,4.0,5422.0,6.0,2.0,1900.0,0.350424197713021
Super built-up  Area,Ready To Move,Hennur Road,2.0,1020.0,2.0,3.0,47.0,0.04607843137254902
Super built-up  Area,Ready To Move,Other,2.0,1000.0,2.0,0.0,150.0,0.15
Plot  Area,Ready To Move,Other,2.0,800.0,3.0,1.0,59.5,0.074375
Plot  Area,Ready To Move,Other,5.0,1200.0,3.0,2.0,95.0,0.07916666666666666
Super built-up  Area,Ready To Move,Marathahalli,2.0,1125.0,2.0,3.0,55.0,0.04888888888888889
Plot  Area,Ready To Move,Kudlu Gate,9.0,1150.0,9.0,2.0,140.0,0.12173913043478261
Built-up  Area,Ready To Move,Other,3.0,909.0,2.0,1.0,43.0,0.047304730473047306
Built-up  Area,Ready To Move,Whitefield,4.0,2850.0,5.0,0.0,240.0,0.08421052631578947
Super built-up  Area,Ready To Move,Other,2.0,1400.0,2.0,3.0,85.0,0.060714285714285714
Super built-up  Area,Ready To Move,Kadugodi,2.0,1152.0,2.0,2.0,61.0,0.05295138888888889
Super built-up  Area,Ready To Move,Subramanyapura,2.0,958.0,2.0,1.0,34.49,0.03600208768267223
Super built-up  Area,Ready To Move,Whitefield,2.0,1150.0,2.0,2.0,55.0,0.04782608695652174
Super built-up  Area,Ready To Move,Old Madras Road,3.0,2990.0,5.0,1.0,173.0,0.05785953177257525
Super built-up  Area,Ready To Move,Bellandur,2.0,1310.0,2.0,2.0,85.0,0.0648854961832061
Super built-up  Area,Ready To Move,Hosur Road,3.0,1590.0,2.0,2.0,126.0,0.07924528301886792
Super built-up  Area,Ready To Move,Green Glen Layout,3.0,1645.0,3.0,2.0,110.0,0.0668693009118541
Built-up  Area,Ready To Move,Other,3.0,1800.0,2.0,2.0,100.0,0.05555555555555555
Super built-up  Area,Ready To Move,Thanisandra,3.0,1795.0,3.0,2.0,150.0,0.08356545961002786
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1100.0,2.0,3.0,35.0,0.031818181818181815
Super built-up  Area,Under Construction,Thanisandra,1.0,777.0,1.0,0.0,38.535,0.04959459459459459
Super built-up  Area,Ready To Move,Other,2.0,925.0,2.0,2.0,70.0,0.07567567567567568
Super built-up  Area,Ready To Move,Basavangudi,3.0,1542.14,3.0,3.0,120.0,0.0778139468530743
Plot  Area,Ready To Move,Konanakunte,4.0,3746.0,6.0,1.0,375.0,0.100106780565937
Super built-up  Area,Ready To Move,Thanisandra,3.0,1430.0,2.0,2.0,54.0,0.03776223776223776
Super built-up  Area,Ready To Move,Bommanahalli,2.0,1020.0,2.0,2.0,55.0,0.05392156862745098
Plot  Area,Ready To Move,Other,4.0,750.0,2.0,1.0,42.0,0.056
Super built-up  Area,Under Construction,Electronic City Phase II,2.0,1140.0,2.0,1.0,32.92,0.02887719298245614
Built-up  Area,Ready To Move,Anekal,3.0,967.0,2.0,1.0,45.0,0.04653567735263702
Super built-up  Area,Under Construction,Hebbal,4.0,2470.0,4.0,2.0,203.0,0.08218623481781377
Built-up  Area,Ready To Move,Other,2.0,850.0,1.0,0.0,35.5,0.04176470588235294
Super built-up  Area,Ready To Move,Other,2.0,1100.0,2.0,2.0,32.0,0.02909090909090909
Super built-up  Area,Ready To Move,Thanisandra,3.0,1697.0,3.0,2.0,110.0,0.0648202710665881
Super built-up  Area,Ready To Move,Varthur,2.0,1250.0,2.0,2.0,47.0,0.0376
Super built-up  Area,Ready To Move,Gottigere,2.0,1120.0,2.0,2.0,50.0,0.044642857142857144
Plot  Area,Ready To Move,NRI Layout,4.0,1200.0,4.0,0.0,95.0,0.07916666666666666
Plot  Area,Ready To Move,Hennur Road,5.0,5100.0,6.0,3.0,375.0,0.07352941176470588
Plot  Area,Ready To Move,Other,4.0,2400.0,3.0,2.0,480.0,0.2
Super built-up  Area,Ready To Move,Hebbal,2.0,1200.0,2.0,1.0,52.0,0.043333333333333335
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1100.0,2.0,1.0,44.0,0.04
Super built-up  Area,Ready To Move,Devarachikkanahalli,3.0,1417.0,2.0,2.0,76.0,0.053634438955539876
Built-up  Area,Ready To Move,Thanisandra,3.0,1492.0,3.0,1.0,88.0,0.058981233243967826
Super built-up  Area,Under Construction,Devanahalli,3.0,1498.0,3.0,3.0,79.15,0.052837116154873166
Built-up  Area,Ready To Move,Other,4.0,3500.0,2.0,1.0,350.0,0.1
Super built-up  Area,Ready To Move,Kundalahalli,2.0,1010.0,2.0,1.0,48.27,0.04779207920792079
Super built-up  Area,Ready To Move,Channasandra,2.0,1050.0,2.0,1.0,35.0,0.03333333333333333
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1847.0,3.0,2.0,125.0,0.0676773145641581
Super built-up  Area,Under Construction,Other,2.0,1200.0,2.0,2.0,55.0,0.04583333333333333
Super built-up  Area,Ready To Move,Bellandur,2.0,982.0,2.0,2.0,37.28,0.037963340122199596
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,2144.6,4.0,2.0,145.0,0.06761167583698592
Super built-up  Area,Ready To Move,Kengeri,2.0,750.0,2.0,1.0,36.5,0.048666666666666664
Super built-up  Area,Ready To Move,Electronic City,2.0,919.0,2.0,2.0,35.0,0.03808487486398259
Super built-up  Area,Ready To Move,Budigere,2.0,1087.0,2.0,1.0,54.3,0.0499540018399264
Built-up  Area,Ready To Move,Other,3.0,1480.0,3.0,2.0,74.0,0.05
Built-up  Area,Ready To Move,Tindlu,2.0,1180.0,2.0,2.0,52.0,0.04406779661016949
Super built-up  Area,Ready To Move,Other,3.0,2100.0,4.0,2.0,255.0,0.12142857142857143
Super built-up  Area,Ready To Move,Jigani,3.0,1221.0,3.0,2.0,65.0,0.05323505323505324
Built-up  Area,Ready To Move,Thanisandra,3.0,2072.0,3.0,2.0,122.0,0.05888030888030888
Built-up  Area,Under Construction,Whitefield,3.0,1600.0,3.0,2.0,69.0,0.043125
Super built-up  Area,Ready To Move,Sahakara Nagar,3.0,2200.0,3.0,2.0,98.0,0.04454545454545455
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,3.0,220.0,0.13414634146341464
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,1253.0,2.0,2.0,81.5,0.0650438946528332
Super built-up  Area,Ready To Move,Hennur Road,2.0,1061.0,2.0,1.0,54.92,0.05176248821866164
Super built-up  Area,Ready To Move,Marathahalli,3.0,1950.0,3.0,2.0,115.0,0.05897435897435897
Built-up  Area,Ready To Move,Marathahalli,2.0,1250.0,2.0,2.0,68.0,0.0544
Super built-up  Area,Ready To Move,Hennur Road,3.0,1585.0,2.0,3.0,80.0,0.050473186119873815
Super built-up  Area,Ready To Move,Kammasandra,2.0,1015.0,2.0,2.0,37.0,0.03645320197044335
Super built-up  Area,Under Construction,Begur Road,4.0,2464.5,6.0,0.0,118.0,0.04787989450192737
Super built-up  Area,Ready To Move,Marathahalli,2.0,1125.0,2.0,2.0,56.8,0.05048888888888889
Super built-up  Area,Under Construction,Electronic City Phase II,2.0,1116.0,2.0,2.0,40.0,0.035842293906810034
Built-up  Area,Ready To Move,Other,1.0,400.0,1.0,0.0,35.0,0.0875
Super built-up  Area,Ready To Move,Kasavanhalli,4.0,4000.0,4.0,2.0,325.0,0.08125
Super built-up  Area,Ready To Move,Hebbal,4.0,3900.0,4.0,2.0,410.0,0.10512820512820513
Super built-up  Area,Ready To Move,Old Madras Road,2.0,1300.0,2.0,2.0,100.0,0.07692307692307693
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1419.0,2.0,1.0,60.42,0.042579281183932345
Super built-up  Area,Ready To Move,Other,3.0,1310.0,2.0,1.0,55.0,0.04198473282442748
Super built-up  Area,Ready To Move,Thigalarapalya,3.0,2072.0,4.0,2.0,152.0,0.07335907335907337
Built-up  Area,Ready To Move,Kaggadasapura,2.0,1240.0,2.0,1.0,58.58,0.04724193548387096
Built-up  Area,Ready To Move,Chamrajpet,3.0,1565.0,3.0,2.0,98.91,0.06320127795527156
Super built-up  Area,Ready To Move,Budigere,3.0,1820.0,3.0,2.0,89.0,0.0489010989010989
Plot  Area,Ready To Move,Gubbalala,3.0,2500.0,3.0,1.0,88.0,0.0352
Plot  Area,Ready To Move,KR Puram,5.0,3657.0,5.0,2.0,310.0,0.0847689362865737
Super built-up  Area,Ready To Move,Hosa Road,2.0,1245.0,2.0,1.0,62.0,0.04979919678714859
Super built-up  Area,Ready To Move,GM Palaya,3.0,1315.0,3.0,1.0,65.0,0.049429657794676805
Super built-up  Area,Ready To Move,Kenchenahalli,3.0,1410.0,2.0,2.0,73.0,0.05177304964539007
Super built-up  Area,Ready To Move,Dasarahalli,2.0,1375.0,2.0,1.0,60.0,0.04363636363636364
Super built-up  Area,Ready To Move,Old Madras Road,2.0,1299.0,2.0,2.0,95.0,0.0731331793687452
Super built-up  Area,Ready To Move,Other,2.0,993.0,2.0,3.0,45.5,0.04582074521651561
Plot  Area,Ready To Move,Bommasandra Industrial Area,2.0,1200.0,3.0,0.0,45.0,0.0375
Super built-up  Area,Ready To Move,Other,2.0,985.0,2.0,1.0,156.0,0.15837563451776648
Built-up  Area,Ready To Move,Other,4.0,2400.0,5.0,3.0,180.0,0.075
Super built-up  Area,Under Construction,Hebbal,3.0,1255.0,2.0,1.0,95.0,0.07569721115537849
Super built-up  Area,Under Construction,Hoodi,3.0,1655.0,3.0,2.0,131.0,0.07915407854984895
Super built-up  Area,Under Construction,Whitefield,4.0,2830.0,5.0,3.0,190.0,0.06713780918727916
Super built-up  Area,Ready To Move,Other,1.0,6000.0,1.0,1.0,276.0,0.046
Built-up  Area,Ready To Move,Electronic City,2.0,550.0,1.0,1.0,15.0,0.02727272727272727
Super built-up  Area,Ready To Move,Other,1.0,825.0,2.0,1.0,40.0,0.048484848484848485
Super built-up  Area,Under Construction,Begur Road,3.0,1634.0,3.0,1.0,111.0,0.06793145654834762
Plot  Area,Ready To Move,Kogilu,8.0,1200.0,6.0,3.0,105.0,0.0875
Super built-up  Area,Ready To Move,Banaswadi,2.0,1222.0,2.0,2.0,80.0,0.06546644844517185
Super built-up  Area,Ready To Move,Gottigere,3.0,1500.0,3.0,2.0,63.0,0.042
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1890.0,4.0,2.0,100.0,0.05291005291005291
Built-up  Area,Ready To Move,Hegde Nagar,4.0,3750.0,6.0,2.0,375.0,0.1
Super built-up  Area,Ready To Move,Hulimavu,2.0,850.0,1.0,1.0,39.5,0.04647058823529412
Super built-up  Area,Ready To Move,Whitefield,2.0,1295.0,2.0,3.0,78.5,0.06061776061776062
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1320.0,2.0,1.0,100.0,0.07575757575757576
Built-up  Area,Ready To Move,ISRO Layout,4.0,950.0,3.0,3.0,179.0,0.18842105263157893
Plot  Area,Ready To Move,Hebbal,4.0,1200.0,4.0,2.0,225.0,0.1875
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4.0,3000.0,3.0,3.0,170.0,0.056666666666666664
Built-up  Area,Ready To Move,Harlur,2.0,1197.0,2.0,1.0,82.0,0.06850459482038429
Super built-up  Area,Ready To Move,Other,3.0,1320.0,2.0,3.0,60.0,0.045454545454545456
Plot  Area,Ready To Move,Billekahalli,5.0,1180.0,5.0,2.0,98.5,0.08347457627118644
Super built-up  Area,Under Construction,Whitefield,1.0,840.0,1.0,1.0,57.6,0.06857142857142857
Super built-up  Area,Under Construction,Whitefield,1.0,640.0,1.0,0.0,19.83,0.030984374999999998
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,1693.0,3.0,1.0,71.38,0.042161842882457175
Super built-up  Area,Ready To Move,Kodihalli,2.0,1000.0,2.0,1.0,62.0,0.062
Built-up  Area,Ready To Move,Babusapalaya,2.0,1305.0,2.0,1.0,70.0,0.05363984674329502
Built-up  Area,Ready To Move,Kodichikkanahalli,1.0,450.0,1.0,1.0,18.0,0.04
Super built-up  Area,Ready To Move,CV Raman Nagar,1.0,705.0,1.0,1.0,57.0,0.08085106382978724
Super built-up  Area,Ready To Move,Other,4.0,750.0,6.0,2.0,75.0,0.1
Built-up  Area,Ready To Move,Tumkur Road,5.0,4800.0,5.0,2.0,150.0,0.03125
Built-up  Area,Ready To Move,Other,4.0,5000.0,5.0,2.0,600.0,0.12
Plot  Area,Ready To Move,Gubbalala,4.0,5000.0,4.0,3.0,425.0,0.085
Built-up  Area,Under Construction,Whitefield,3.0,1991.0,3.0,2.0,104.0,0.052235057759919636
Super built-up  Area,Ready To Move,Battarahalli,3.0,1779.0,3.0,2.0,90.0,0.050590219224283306
Plot  Area,Ready To Move,Whitefield,4.0,10200.0,4.0,1.0,1250.0,0.12254901960784313
Super built-up  Area,Ready To Move,Banaswadi,2.0,870.0,2.0,2.0,38.0,0.04367816091954023
Super built-up  Area,Under Construction,Thanisandra,3.0,1595.0,3.0,2.0,120.0,0.07523510971786834
Plot  Area,Ready To Move,Ramamurthy Nagar,4.0,945.0,5.0,2.0,120.0,0.12698412698412698
Plot  Area,Under Construction,Other,6.0,2400.0,4.0,2.0,420.0,0.175
Super built-up  Area,Under Construction,Iblur Village,3.0,2000.0,4.0,2.0,138.0,0.069
Super built-up  Area,Ready To Move,Yelahanka,3.0,1614.0,3.0,2.0,93.0,0.05762081784386617
Super built-up  Area,Ready To Move,Gottigere,2.0,1200.0,2.0,3.0,40.0,0.03333333333333333
Built-up  Area,Ready To Move,Electronic City Phase II,3.0,1150.0,3.0,3.0,46.0,0.04
Super built-up  Area,Ready To Move,Indira Nagar,4.0,3200.0,4.0,2.0,440.0,0.1375
Super built-up  Area,Under Construction,Sonnenahalli,3.0,1610.0,3.0,2.0,80.48,0.049987577639751556
Super built-up  Area,Ready To Move,Whitefield,2.0,1190.0,2.0,2.0,41.0,0.034453781512605045
Super built-up  Area,Ready To Move,Other,2.0,1050.0,2.0,2.0,50.0,0.047619047619047616
Plot  Area,Ready To Move,Other,4.0,4800.0,5.0,2.0,420.0,0.0875
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1460.0,2.0,1.0,97.0,0.06643835616438357
Super built-up  Area,Ready To Move,Other,3.0,3400.0,3.0,3.0,400.0,0.11764705882352941
Plot  Area,Ready To Move,Other,1.0,600.0,1.0,0.0,33.0,0.055
Built-up  Area,Ready To Move,Other,3.0,1569.0,3.0,0.0,70.0,0.04461440407903123
Built-up  Area,Under Construction,Other,3.0,2600.0,3.0,2.0,147.0,0.05653846153846154
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,645.0,1.0,0.0,42.5,0.06589147286821706
Plot  Area,Ready To Move,Other,4.0,1200.0,3.0,1.0,180.0,0.15
Plot  Area,Ready To Move,Nagarbhavi,3.0,800.0,3.0,0.0,95.0,0.11875
Built-up  Area,Ready To Move,Mico Layout,2.0,800.0,2.0,1.0,80.0,0.1
Super built-up  Area,Ready To Move,Marathahalli,2.0,1350.0,2.0,1.0,90.0,0.06666666666666667
Super built-up  Area,Ready To Move,BTM 2nd Stage,3.0,2780.0,4.0,1.0,325.0,0.11690647482014388
Super built-up  Area,Under Construction,Other,3.0,1410.0,2.0,2.0,45.12,0.032
Super built-up  Area,Ready To Move,Whitefield,2.0,1109.0,2.0,1.0,35.47,0.031983769161406675
Super built-up  Area,Ready To Move,Other,4.0,2000.0,3.0,2.0,1063.0,0.5315
Built-up  Area,Ready To Move,Other,1.0,800.0,1.0,0.0,72.0,0.09
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,1215.0,2.0,1.0,68.0,0.05596707818930041
Plot  Area,Ready To Move,Basaveshwara Nagar,8.0,1230.0,6.0,0.0,250.0,0.2032520325203252
Built-up  Area,Ready To Move,Prithvi Layout,3.0,2273.0,4.0,2.0,192.0,0.08446986361636603
Super built-up  Area,Under Construction,Varthur Road,2.0,1255.0,2.0,2.0,52.76,0.0420398406374502
Super built-up  Area,Ready To Move,Other,2.0,1020.0,2.0,1.0,49.0,0.04803921568627451
Super built-up  Area,Under Construction,Other,3.0,1225.0,2.0,2.0,82.0,0.06693877551020408
Super built-up  Area,Ready To Move,Singasandra,2.0,1120.0,2.0,1.0,60.0,0.05357142857142857
Plot  Area,Ready To Move,Other,5.0,2400.0,5.0,3.0,625.0,0.2604166666666667
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1225.0,2.0,1.0,69.0,0.0563265306122449
Plot  Area,Ready To Move,Whitefield,4.0,5200.0,5.0,3.0,242.0,0.046538461538461535
Built-up  Area,Ready To Move,Indira Nagar,4.0,4000.0,4.0,1.0,700.0,0.175
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1984.0,4.0,1.0,145.0,0.07308467741935484
Super built-up  Area,Ready To Move,Old Madras Road,3.0,2425.0,3.0,1.0,197.0,0.08123711340206186
Plot  Area,Under Construction,ITPL,3.0,1200.0,3.0,1.0,56.12,0.046766666666666665
Super built-up  Area,Under Construction,Bommasandra,2.0,1127.0,2.0,1.0,45.0,0.03992901508429459
Built-up  Area,Under Construction,Whitefield,3.0,1655.0,3.0,2.0,97.0,0.05861027190332326
Super built-up  Area,Under Construction,Ananth Nagar,1.0,500.0,1.0,1.0,14.0,0.028
Plot  Area,Under Construction,Varthur,3.0,1200.0,3.0,1.0,68.38,0.05698333333333333
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1000.0,2.0,2.0,43.0,0.043
Super built-up  Area,Under Construction,CV Raman Nagar,2.0,1225.0,2.0,2.0,47.88,0.039085714285714286
Super built-up  Area,Ready To Move,Hormavu,2.0,1350.0,2.0,2.0,45.0,0.03333333333333333
Plot  Area,Under Construction,Nagarbhavi,4.0,600.0,5.0,3.0,95.0,0.15833333333333333
Super built-up  Area,Ready To Move,Sahakara Nagar,2.0,1175.0,2.0,3.0,49.0,0.04170212765957447
Super built-up  Area,Ready To Move,Other,1.0,655.0,1.0,2.0,27.0,0.04122137404580153
Super built-up  Area,Under Construction,Hosa Road,3.0,1311.0,2.0,1.0,84.86,0.06472921434019832
Plot  Area,Ready To Move,Banashankari Stage VI,3.0,600.0,4.0,0.0,90.0,0.15
Carpet  Area,Ready To Move,CV Raman Nagar,2.0,1000.0,2.0,1.0,38.5,0.0385
Super built-up  Area,Ready To Move,Other,2.0,1196.0,2.0,1.0,96.0,0.0802675585284281
Built-up  Area,Ready To Move,Kanakpura Road,3.0,1050.0,2.0,1.0,59.0,0.05619047619047619
Super built-up  Area,Ready To Move,Somasundara Palya,3.0,1275.0,2.0,2.0,52.0,0.0407843137254902
Carpet  Area,Ready To Move,Other,2.0,927.0,2.0,1.0,50.0,0.05393743257820928
Super built-up  Area,Ready To Move,Varthur,3.0,1520.0,2.0,3.0,61.0,0.04013157894736842
Plot  Area,Ready To Move,Other,4.0,2400.0,5.0,2.0,395.0,0.16458333333333333
Built-up  Area,Ready To Move,Hebbal,2.0,1333.0,2.0,1.0,104.0,0.07801950487621906
Super built-up  Area,Under Construction,Other,1.0,600.0,1.0,0.0,18.0,0.03
Super built-up  Area,Under Construction,Abbigere,3.0,1326.0,2.0,1.0,34.8,0.026244343891402712
Super built-up  Area,Under Construction,Sarjapur  Road,3.0,1773.5,2.0,2.0,85.125,0.04799830842965887
Built-up  Area,Ready To Move,Koramangala,2.0,1370.0,2.0,2.0,125.0,0.09124087591240876
Super built-up  Area,Ready To Move,Koramangala,2.0,1100.0,2.0,2.0,85.0,0.07727272727272727
Super built-up  Area,Ready To Move,Haralur Road,3.0,1650.0,3.0,3.0,100.0,0.06060606060606061
Super built-up  Area,Under Construction,Kasavanhalli,3.0,1917.0,3.0,2.0,132.0,0.06885758998435054
Carpet  Area,Ready To Move,Other,3.0,780.0,3.0,2.0,75.0,0.09615384615384616
Super built-up  Area,Ready To Move,Billekahalli,2.0,950.0,2.0,1.0,58.11,0.06116842105263158
Super built-up  Area,Ready To Move,Other,2.0,1175.0,2.0,1.0,48.72,0.04146382978723404
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2.0,1089.0,2.0,1.0,43.55,0.03999081726354453
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,1804.0,3.0,2.0,175.0,0.09700665188470066
Super built-up  Area,Ready To Move,Hoodi,2.0,1257.0,2.0,1.0,68.5,0.05449482895783612
Super built-up  Area,Ready To Move,Sarjapur,1.0,650.0,1.0,2.0,19.87,0.030569230769230772
Super built-up  Area,Ready To Move,Whitefield,3.0,1850.0,3.0,2.0,150.0,0.08108108108108109
Built-up  Area,Ready To Move,Other,4.0,2800.0,4.0,1.0,200.0,0.07142857142857142
Built-up  Area,Ready To Move,Vidyaranyapura,2.0,945.0,2.0,2.0,40.0,0.042328042328042326
Super built-up  Area,Under Construction,Koramangala,2.0,1161.0,2.0,1.0,63.85,0.05499569336778639
Super built-up  Area,Under Construction,Banashankari Stage V,3.0,1630.0,3.0,2.0,51.35,0.03150306748466258
Super built-up  Area,Ready To Move,Jalahalli,3.0,1310.0,2.0,2.0,60.0,0.04580152671755725
Super built-up  Area,Ready To Move,Other,2.0,750.0,2.0,1.0,28.0,0.037333333333333336
Plot  Area,Under Construction,Whitefield,3.0,1200.0,3.0,1.0,67.77,0.056475
Super built-up  Area,Ready To Move,Other,2.0,1000.0,2.0,1.0,45.0,0.045
Plot  Area,Ready To Move,Old Madras Road,4.0,4000.0,4.0,2.0,225.0,0.05625
Built-up  Area,Ready To Move,Nagavara,2.0,1315.0,2.0,2.0,70.0,0.053231939163498096
Super built-up  Area,Ready To Move,Sahakara Nagar,3.0,1370.0,2.0,2.0,90.0,0.06569343065693431
Plot  Area,Ready To Move,Ulsoor,5.0,1200.0,4.0,3.0,150.0,0.125
Built-up  Area,Ready To Move,Bellandur,2.0,1465.0,3.0,3.0,90.0,0.06143344709897611
Plot  Area,Ready To Move,JP Nagar,3.0,20000.0,3.0,2.0,175.0,0.00875
Super built-up  Area,Under Construction,Electronic City,2.0,1128.0,2.0,1.0,64.0,0.05673758865248227
Super built-up  Area,Ready To Move,Padmanabhanagar,3.0,1250.0,2.0,2.0,70.0,0.056
Super built-up  Area,Ready To Move,Horamavu Agara,3.0,1284.0,2.0,2.0,75.0,0.05841121495327103
Super built-up  Area,Under Construction,Hebbal,3.0,2600.0,3.0,2.0,199.0,0.07653846153846154
Super built-up  Area,Under Construction,Kodigehalli,3.0,1820.0,3.0,2.0,150.0,0.08241758241758242
Super built-up  Area,Ready To Move,Haralur Road,3.0,1580.0,3.0,1.0,73.0,0.046202531645569624
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,2650.0,3.0,2.0,125.0,0.04716981132075472
Super built-up  Area,Ready To Move,Uttarahalli,2.0,1075.0,2.0,1.0,40.0,0.037209302325581395
Super built-up  Area,Ready To Move,R.T. Nagar,3.0,1400.0,2.0,3.0,78.0,0.055714285714285716
Super built-up  Area,Ready To Move,Subramanyapura,3.0,1400.0,2.0,1.0,55.0,0.039285714285714285
Built-up  Area,Ready To Move,Bisuvanahalli,2.0,845.0,2.0,1.0,30.0,0.03550295857988166
Super built-up  Area,Ready To Move,Hegde Nagar,4.0,2600.0,4.0,3.0,40.0,0.015384615384615385
